Операция: умножение, Число: 12,00, Результат: 1440,00
Операция: умножение, Число: 2022,00, Результат: 246684,00 (DEC: 246684, BIN: 111100001110011100, OCT: 741634, HEX: 3C39C)
Операция: вычитание, Число: 2102102021020102000000000000000000000,00, Результат: -2102102021020102000000000000000000000,00 (BIN: 10000000000000000000000000000000.-2102102021020102000000000000000000000,0000, OCT: 20000000000.-2102102021020102000000000000000000000,0000, DEC: -2147483648.-2102102021020102000000000000000000000,0000, HEX: 80000000.-2102102021020102000000000000000000000,0000)
Операция: сложение, Число: 1000000000000000000000000000000000000000000,00, Результат: 999997897897979000000000000000000000000000,00 (BIN: 1111111111111111111111111111111.999997897897979000000000000000000000000000,0000, OCT: 17777777777.999997897897979000000000000000000000000000,0000, DEC: 2147483647.999997897897979000000000000000000000000000,0000, HEX: 7FFFFFFF.999997897897979000000000000000000000000000,0000)
Операция: вычитание, Число: 10000000000000000000000000000000,00, Результат: 999997897887979100000000000000000000000000,00 (BIN: 1111111111111111111111111111111.999997897887979100000000000000000000000000,0000, OCT: 17777777777.999997897887979100000000000000000000000000,0000, DEC: 2147483647.999997897887979100000000000000000000000000,0000, HEX: 7FFFFFFF.999997897887979100000000000000000000000000,0000)
Операция: деление, Число: 200000,00, Результат: 4999989489439895400000000000000000000,00 (BIN: 1111111111111111111111111111111.4999989489439895400000000000000000000,0000, OCT: 17777777777.4999989489439895400000000000000000000,0000, DEC: 2147483647.4999989489439895400000000000000000000,0000, HEX: 7FFFFFFF.4999989489439895400000000000000000000,0000)
Операция: деление, Число: 20000000000000000000000,00, Результат: 249999474471994,78 (BIN: 1111111111111111111111111111111.249997326988347,7800, OCT: 17777777777.249997326988347,7800, DEC: 2147483647.249997326988347,7800, HEX: 7FFFFFFF.249997326988347,7800)
Операция: деление, Число: 1000000000000000000,00, Результат: 0,00 (BIN: 0.0,0002, OCT: 0.0,0002, DEC: 0.0,0002, HEX: 0.0,0002)
Операция: сложение, Число: 1,00, Результат: 1,00 (BIN: 1.0,0002, OCT: 1.0,0002, DEC: 1.0,0002, HEX: 1.0,0002)
Операция: сложение, Число: 2,00, Результат: 3,00 (BIN: 11.0,0002, OCT: 3.0,0002, DEC: 3.0,0002, HEX: 3.0,0002)
Операция: сложение, Число: 3,00, Результат: 6,00 (BIN: 110.0,0002, OCT: 6.0,0002, DEC: 6.0,0002, HEX: 6.0,0002)
Операция: сложение, Число: 4,00, Результат: 10,00 (BIN: 1010.0,0002, OCT: 12.0,0002, DEC: 10.0,0002, HEX: A.0,0002)
Операция: вычитание, Число: 0,00, Результат: 10,00 (BIN: 1010.0,0000, OCT: 12.0,0000, DEC: 10.0,0000, HEX: A.0,0000)
Операция: деление, Число: -1,00, Результат: -10,00 (BIN: 11111111111111111111111111110110, OCT: 37777777766, DEC: -10, HEX: FFFFFFF6)
Операция: умножение, Число: -3,00, Результат: 30,00 (BIN: 11110, OCT: 36, DEC: 30, HEX: 1E)
Операция: сложение, Число: -3,00, Результат: 27,00 (BIN: 11011, OCT: 33, DEC: 27, HEX: 1B)
Операция: вычитание, Число: 3,00, Результат: 24,00 (BIN: 11000, OCT: 30, DEC: 24, HEX: 18)
Операция: вычитание, Число: -3,00, Результат: 27,00 (BIN: 11011, OCT: 33, DEC: 27, HEX: 1B)
Операция: сложение, Число: 11,00, Результат: 20,00 (BIN: 10100, OCT: 24, DEC: 20, HEX: 14)
Операция: сложение, Число: 202,00, Результат: 222,00 (BIN: 11011110, OCT: 336, DEC: 222, HEX: DE)
Операция: вычитание, Число: 221,00, Результат: 1,00 (BIN: 1, OCT: 1, DEC: 1, HEX: 1)
Операция: вычитание, Число: 221,00, Результат: -220,00 (BIN: 11111111111111111111111100100100, OCT: 37777777444, DEC: -220, HEX: FFFFFF24)
Операция: сложение, Число: 2,00, Результат: 102,00 (BIN: 1100110, OCT: 146, DEC: 102, HEX: 66)
Операция: вычитание, Число: 12,00, Результат: 90,00 (BIN: 1011010, OCT: 132, DEC: 90, HEX: 5A)
Операция: умножение, Число: 2,00, Результат: 180,00 (BIN: 10110100, OCT: 264, DEC: 180, HEX: B4)
Операция: вычитание, Число: 10,00, Результат: 0,00 (BIN: 0, OCT: 0, DEC: 0, HEX: 0)
Операция: вычитание, Число: 1,00, Результат: -1,00 (BIN: 11111111111111111111111111111111, OCT: 37777777777, DEC: -1, HEX: FFFFFFFF)
Операция: сложение, Число: 1,00, Результат: 2,00 (BIN: 10, OCT: 2, DEC: 2, HEX: 2)
Операция: сложение, Число: 21,00, Результат: 23,00 (BIN: 10111, OCT: 27, DEC: 23, HEX: 17)
Операция: сложение, Число: 4915,00, Результат: 4938,00 (BIN: 1001101001010, OCT: 11512, DEC: 4938, HEX: 134A)
Операция: вычитание, Число: 4938,00, Результат: 0,00 (BIN: 0, OCT: 0, DEC: 0, HEX: 0)
Операция: сложение, Число: 10,00, Результат: 10,00 (BIN: 1010, OCT: 12, DEC: 10, HEX: A)
